name,address,phone,lat,lng
Café Flour,"Capador Mall, Aguiyi Ironsi St, Maitama, Abuja",+2348155555615,9.0898976,7.4760034
Nosta Coffee,"2 Atakpame St, Wuse, Abuja 904101",+2348091844446,9.069878,7.4785546
Café de vie,"12 Amazon St, Maitama, Abuja 900271","",9.0990442,7.4832064
Salamander Cafe,"15b Parakou St, Wuse, Abuja 904101",+2349115818332,9.0792575,7.4683771
Eli & Lulu's Cafe and Bistro,"HABO MALL, Adetokunbo Ademola Cres, Wuse, Abuja",+2347064223698,9.0772477,7.4786404
Pink Bear,"141 Adetokunbo Ademola Cres, Wuse, Abuja 904101",+2348167102465,9.0793782,7.4797398
Mar's Cafe,"29 Kampala St, Wuse 2, Abuja",+2349163515326,9.075821,7.4806695
Pinksugar Café Abuja,"2787 Shehu Shagari Way, Wuse, Abuja",+2349060798322,9.0849642,7.4894987
Akara Cafe Wuse,"Zone 5, Accra St, Wuse, Abuja",+2349034373438,9.0621729,7.4604378
Moeshen Cafe Bar,"Plot 1049 Abubakar Koko Ave, Lifecamp, Abuja",+2349099933668,9.086215,7.3908843
Habil Café,"1775 Adetokunbo Ademola Cres, Wuse, Abuja",+2348098809900,9.0695623,7.4793977
Bleu Café Abuja,"16 Bangui St, Wuse 2, Abuja",+2349164368669,9.0686728,7.4808812
Cafe One Abuja,"Sterling Bank Plaza, CBD, Abuja",+2349076230434,9.0494267,7.4819052
Saffron Cafe,"43 Gana St, Maitama, Abuja",+2349032802609,9.0780422,7.5003322
Metrocafe & Grill,"43 Libreville Cres, Wuse 2, Abuja",+2348101551166,9.0744278,7.4628969
Strobrié Cafe,"HFIA Garden, Garki, Abuja",+2348090701995,9.0329328,7.4839231
Mai Shayi Coffee Roasters Abuja,"84 Kwame Nkrumah Cres, Asokoro, Abuja",+2349047764552,9.0426491,7.5295141
Nigeria Cafe,"22 1st Avenue, F.H.A Lugbe, Abuja",08100984695,9.0,7.5
Street Cafe,"Wuse 2, Abuja",08112616664,9.0,7.43
Eva & Reesa,"168 Aminu Kano Crescent, Wuse 2, Abuja","",9.0111,7.0
